Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
7,29,9,1,0,77.77,3,caught,1,vÿSouth Africa,Pallekele,09-Jul-14,ODI # 3501
36,41,23,6,0,156.52,3,caught,2,vÿSouth Africa,Hambantota,12-Jul-14,ODI # 3502
25,43,40,4,0,62.5,3,caught,1,vÿPakistan,Hambantota,23-Aug-14,ODI # 3512
11,38,16,2,0,68.75,3,caught,1,vÿPakistan,Hambantota,26-Aug-14,ODI # 3515
2,12,5,0,0,40,3,caught,2,vÿPakistan,Dambulla,30-Aug-14,ODI # 3519
13,24,13,2,0,100,3,caught,2,vÿIndia,Cuttack,02-Nov-14,ODI # 3539
61,-,86,4,0,70.93,3,caught,1,vÿIndia,Ahmedabad,06-Nov-14,ODI # 3540
0,-,1,0,0,0,3,caught,1,vÿIndia,Hyderabad (Deccan),09-Nov-14,ODI # 3543
2,6,4,0,0,50,3,lbw,1,vÿEngland,Colombo (RPS),26-Nov-14,ODI # 3554
67*,127,93,8,0,72.04,3,not out,2,vÿEngland,Colombo (RPS),29-Nov-14,ODI # 3557
63,110,62,7,0,101.61,3,caught,1,vÿEngland,Hambantota,03-Dec-14,ODI # 3561
86,165,105,7,0,81.9,3,caught,2,vÿEngland,Colombo (RPS),07-Dec-14,ODI # 3563
91,171,123,10,0,73.98,3,caught,1,vÿEngland,Pallekele,10-Dec-14,ODI # 3565
112,169,112,12,2,100,3,caught,1,vÿEngland,Pallekele,13-Dec-14,ODI # 3567
33,51,50,3,0,66,3,caught,1,vÿEngland,Colombo (RPS),16-Dec-14,ODI # 3569
4,16,15,1,0,26.66,3,caught,1,vÿNew Zealand,Christchurch,11-Jan-15,ODI # 3574
38,39,41,1,3,92.68,3,caught,2,vÿNew Zealand,Hamilton,15-Jan-15,ODI # 3577
TDNB,-,-,-,-,-,-,-,-,vÿNew Zealand,Auckland,17-Jan-15,ODI # 3580
76,107,83,8,1,91.56,3,caught,1,vÿNew Zealand,Nelson,20-Jan-15,ODI # 3585
9,29,17,0,0,52.94,3,caught,2,vÿNew Zealand,Dunedin,23-Jan-15,ODI # 3588
81,106,66,7,2,122.72,3,caught,2,vÿNew Zealand,Dunedin,25-Jan-15,ODI # 3590
113*,159,105,14,0,107.61,3,not out,1,vÿNew Zealand,Wellington,29-Jan-15,ODI # 3594
39,48,38,5,0,102.63,3,lbw,2,vÿNew Zealand,Christchurch,14-Feb-15,ODI # 3599
7,28,13,1,0,53.84,3,bowled,2,vÿAfghanistan,Dunedin,22-Feb-15,ODI # 3609
105*,116,76,13,1,138.15,3,not out,1,vÿBangladesh,Melbourne,26-Feb-15,ODI # 3615
117*,116,86,11,2,136.04,3,not out,2,vÿEngland,Wellington,01-Mar-15,ODI # 3619
104,140,107,11,0,97.19,3,caught,2,vÿAustralia,Sydney,08-Mar-15,ODI # 3629
124,139,95,13,4,130.52,3,caught,1,vÿScotland,Hobart,11-Mar-15,ODI # 3632
45,151,96,3,0,46.87,3,caught,1,vÿSouth Africa,Sydney,18-Mar-15,ODI # 3640
